"date","life","avg"
"1/02/2020","H",0.34567718127129
"1/03/2020","H",5.54550324510459
"1/04/2020","H",399.746985625934
"10/02/2020","H",0.753905930642383
"10/03/2020","H",16.8572881642246
"10/04/2020","H",714.570740589574
"11/02/2020","H",0.792559478070629
"11/03/2020","H",20.4667710515569
"11/04/2020","H",755.701945609099
"12/02/2020","H",0.819617832623021
"12/03/2020","H",27.6099876506964
"12/04/2020","H",791.487363230447
"13/02/2020","H",0.858914074542988
"13/03/2020","H",31.7366240378047
"14/02/2020","H",0.960473632042876
"14/03/2020","H",40.5112371130941
"15/02/2020","H",1.07448215866458
"15/03/2020","H",47.662184482459
"16/02/2020","H",1.14027078820618
"16/03/2020","H",58.1752473021488
"17/02/2020","H",1.18707428569437
"17/03/2020","H",65.1825697395884
"18/02/2020","H",1.21572110324945
"18/03/2020","H",74.9857617924825
"19/02/2020","H",1.29407349391143
"19/03/2020","H",81.6545330261386
"2/02/2020","H",0.397311065842225
"2/03/2020","H",6.34210622168138
"2/04/2020","H",434.046703071495
"20/01/2020","H",0.01937735406997
"20/02/2020","H",1.4054334622407
"20/03/2020","H",93.5788077862194
"21/01/2020","H",0.0112191916658463
"21/02/2020","H",1.56222899372305
"21/03/2020","H",110.518446301583
"22/01/2020","H",0.0112191916658463
"22/02/2020","H",1.59918870558693
"22/03/2020","H",126.411179615491
"23/01/2020","H",0.0112191916658463
"23/02/2020","H",2.02895062584987
"23/03/2020","H",144.622256212783
"24/01/2020","H",0.0665949934329273
"24/02/2020","H",2.27734787952249
"24/03/2020","H",166.731080282262
"25/01/2020","H",0.155426995398888
"25/02/2020","H",2.67808874063262
"25/03/2020","H",188.983640171127
"26/01/2020","H",0.148358227355771
"26/02/2020","H",3.40440602438438
"26/03/2020","H",215.131910388347
"27/01/2020","H",0.169118465293759
"27/02/2020","H",3.59962577855614
"27/03/2020","H",244.761549993395
"28/01/2020","H",0.213074559826848
"28/02/2020","H",4.07061616655835
"28/03/2020","H",277.479353724885
"29/01/2020","H",0.246186209276843
"29/02/2020","H",5.09349822140309
"29/03/2020","H",309.550973368097
"3/02/2020","H",0.399873131810262
"3/03/2020","H",7.1000522023607
"3/04/2020","H",469.413506521364
"30/01/2020","H",0.296513303314689
"30/03/2020","H",339.068454845317
"31/01/2020","H",0.364890494759263
"31/03/2020","H",366.076525615046
"4/02/2020","H",0.403219372107899
"4/03/2020","H",7.44854083582062
"4/04/2020","H",508.122413001596
"5/02/2020","H",0.464225920853728
"5/03/2020","H",8.33473637901612
"5/04/2020","H",543.656532210001
"6/02/2020","H",0.524894628416183
"6/03/2020","H",9.80673928284716
"6/04/2020","H",576.606377026571
"7/02/2020","H",0.561446545733111
"7/03/2020","H",11.535995694122
"7/04/2020","H",606.206731710497
"8/02/2020","H",0.615144068270808
"8/03/2020","H",12.7993466108056
"8/04/2020","H",641.721582125575
"9/02/2020","H",0.713301969296835
"9/03/2020","H",14.8849396091897
"9/04/2020","H",674.635671320205
"1/02/2020","L",0.0311392669592078
"1/03/2020","L",0.0229225896879011
"1/04/2020","L",4.15208962316848
"10/02/2020","L",0.0318785743592384
"10/03/2020","L",0.124377503764659
"10/04/2020","L",11.4734991132605
"11/02/2020","L",0.0318785743592384
"11/03/2020","L",0.119191354588682
"11/04/2020","L",11.8566200173424
"12/02/2020","L",0.0318785743592384
"12/03/2020","L",0.129113946490218
"12/04/2020","L",13.083024078703
"13/02/2020","L",0.0318785743592384
"13/03/2020","L",0.252741076832342
"14/02/2020","L",0.0318785743592384
"14/03/2020","L",0.216125849122219
"15/02/2020","L",0.0318785743592384
"15/03/2020","L",0.339088969599092
"16/02/2020","L",0.0318785743592384
"16/03/2020","L",0.528627529607601
"17/02/2020","L",0.0318785743592384
"17/03/2020","L",0.623029853422161
"18/02/2020","L",0.0318785743592384
"18/03/2020","L",0.751116657935849
"19/02/2020","L",0.0318785743592384
"19/03/2020","L",0.865261104975862
"2/02/2020","L",0.0311392669592078
"2/03/2020","L",0.0229225896879011
"2/04/2020","L",4.75855498157172
"20/02/2020","L",0.0318785743592384
"20/03/2020","L",0.954444338437214
"21/02/2020","L",0.0318785743592384
"21/03/2020","L",0.948728587276848
"22/02/2020","L",0.0318785743592384
"22/03/2020","L",1.0682237230247
"23/02/2020","L",0.0318785743592384
"23/03/2020","L",1.31161830115713
"24/02/2020","L",0.0318785743592384
"24/03/2020","L",1.56681470094396
"25/02/2020","L",0.0302196128637229
"25/03/2020","L",1.79720915416698
"26/02/2020","L",0.0302196128637229
"26/03/2020","L",2.16347332415396
"27/02/2020","L",0.0250208104385797
"27/03/2020","L",2.44421252027168
"28/01/2020","L",0.061539226518385
"28/02/2020","L",0.0210377090552711
"28/03/2020","L",2.80280641198705
"29/01/2020","L",0.061539226518385
"29/02/2020","L",0.0210377090552711
"29/03/2020","L",3.00246254551789
"3/02/2020","L",0.0318785743592384
"3/03/2020","L",0.0306463161850507
"3/04/2020","L",5.3424444202028
"30/01/2020","L",0.061539226518385
"30/03/2020","L",3.3286323950046
"31/01/2020","L",0.0311392669592078
"31/03/2020","L",3.86630560778756
"4/02/2020","L",0.0318785743592384
"4/03/2020","L",0.0306463161850507
"4/04/2020","L",5.73613880763025
"5/02/2020","L",0.0318785743592384
"5/03/2020","L",0.0651406119297541
"5/04/2020","L",6.65538111956725
"6/02/2020","L",0.0318785743592384
"6/03/2020","L",0.0560683883167341
"6/04/2020","L",7.09353836757473
"7/02/2020","L",0.0318785743592384
"7/03/2020","L",0.0684111854781602
"7/04/2020","L",8.56621766065243
"8/02/2020","L",0.0318785743592384
"8/03/2020","L",0.0863855586130106
"8/04/2020","L",9.74385827314363
"9/02/2020","L",0.0318785743592384
"9/03/2020","L",0.0901387154553426
"9/04/2020","L",10.7144462776738
"1/02/2020","M",1.14654371454537
"1/03/2020","M",3.63004395937587
"1/04/2020","M",60.628648331529
"10/01/2020","M",0.0144033020203627
"10/02/2020","M",3.77401173926949
"10/03/2020","M",4.64045061459774
"10/04/2020","M",119.159250552611
"11/01/2020","M",0.0219209433353269
"11/02/2020","M",3.99898690540214
"11/03/2020","M",4.9200272544987
"11/04/2020","M",128.950840360852
"12/01/2020","M",0.0219209433353269
"12/02/2020","M",4.18046500955729
"12/03/2020","M",5.89306339641115
"12/04/2020","M",137.096875009571
"13/01/2020","M",0.0219209433353269
"13/02/2020","M",5.54169236466207
"13/03/2020","M",6.41439866062062
"14/01/2020","M",0.0219209433353269
"14/02/2020","M",5.90915173986727
"14/03/2020","M",7.60490054468694
"15/01/2020","M",0.0219209433353269
"15/02/2020","M",5.47329350981426
"15/03/2020","M",9.18621980346533
"16/01/2020","M",0.0219209433353269
"16/02/2020","M",5.63701460794817
"16/03/2020","M",10.6787746788577
"17/01/2020","M",0.0233569718548533
"17/02/2020","M",5.80224244670313
"17/03/2020","M",11.5772799942866
"18/01/2020","M",0.0366617440730219
"18/02/2020","M",5.95326477933999
"18/03/2020","M",13.0502469483729
"19/01/2020","M",0.0650448157462176
"19/02/2020","M",6.09295844254503
"19/03/2020","M",14.3382723660709
"2/02/2020","M",1.38278956238241
"2/03/2020","M",3.52018375082149
"2/04/2020","M",66.3920921447591
"20/01/2020","M",0.0926883647471007
"20/02/2020","M",5.51454094271187
"20/03/2020","M",15.7971287620745
"21/01/2020","M",0.126076027826089
"21/02/2020","M",5.58225528428484
"21/03/2020","M",18.0685814005587
"22/01/2020","M",0.180645111568093
"22/02/2020","M",5.65738382899101
"22/03/2020","M",20.3168049365754
"23/01/2020","M",0.227675045582582
"23/02/2020","M",5.71620785312326
"23/03/2020","M",22.5695915434637
"24/01/2020","M",0.226118122985433
"24/02/2020","M",5.29356746952321
"24/03/2020","M",25.6187590266408
"25/01/2020","M",0.26135345319994
"25/02/2020","M",5.00698701839159
"25/03/2020","M",28.6931132776319
"26/01/2020","M",0.326911874463752
"26/02/2020","M",4.76402868269384
"26/03/2020","M",33.6733186438275
"27/01/2020","M",0.380667622695061
"27/02/2020","M",4.18435487631715
"27/03/2020","M",38.9561547021507
"28/01/2020","M",0.599922818421974
"28/02/2020","M",3.85228920616559
"28/03/2020","M",43.0110203480876
"29/01/2020","M",0.78928226173797
"29/02/2020","M",3.80877846745348
"29/03/2020","M",47.0480132897157
"3/02/2020","M",1.63782619853951
"3/03/2020","M",3.20009282606088
"3/04/2020","M",73.5026359075194
"30/01/2020","M",1.01348469091291
"30/03/2020","M",51.3600887417371
"31/01/2020","M",1.08256318760917
"31/03/2020","M",55.4843021745726
"4/02/2020","M",1.93723137077976
"4/03/2020","M",3.3376137921508
"4/04/2020","M",79.7458197196174
"5/02/2020","M",2.29982816879525
"5/03/2020","M",3.51954710844003
"5/04/2020","M",86.2647366218666
"6/02/2020","M",2.63956982098847
"6/03/2020","M",3.70542822808315
"6/04/2020","M",91.6606552480175
"7/02/2020","M",2.93292369417943
"7/03/2020","M",4.01522756959278
"7/04/2020","M",99.5697735307944
"8/02/2020","M",3.25478887398785
"8/03/2020","M",4.26716299806345
"8/04/2020","M",105.609941481084
"9/01/2020","M",0.0144033020203627
"9/02/2020","M",3.50213801239526
"9/03/2020","M",4.36818593481932
"9/04/2020","M",111.728254078069
